LocationName,Duration,DurationDays,Date,Mean,StdDev,Skew
Waterloo,5-Day,5.0,2000-04-09,3.8333770973001973,0.1887416907302168,0.22729869678868733
Waterloo,5-Day,5.0,2000-04-10,3.827782776362447,0.18981052778947521,0.22643361944951151
Waterloo,5-Day,5.0,2000-04-11,3.822134424729136,0.1910650908644094,0.22379970589872383
Waterloo,5-Day,5.0,2000-04-12,3.816445464501774,0.19245344365291842,0.21950549359698082
Waterloo,5-Day,5.0,2000-04-13,3.8107241174102398,0.19397650019445584,0.21371346784526699
Waterloo,5-Day,5.0,2000-04-14,3.8049771174754343,0.1956487111935747,0.20650349643921329
Waterloo,5-Day,5.0,2000-04-15,3.799209776133863,0.19745091689067792,0.19791010839859033
Waterloo,5-Day,5.0,2000-04-16,3.79342699909976,0.19933714628308977,0.18787676618340093
Waterloo,5-Day,5.0,2000-04-17,3.7876333656591488,0.20127425046313047,0.1764462648992863
Waterloo,5-Day,5.0,2000-04-18,3.781831985355177,0.2032367145263518,0.16357869517788637
Waterloo,5-Day,5.0,2000-04-19,3.776020149373225,0.20519789769857594,0.1491030297976273
Waterloo,5-Day,5.0,2000-04-20,3.7701831926909293,0.20713886444422636,0.13290926040564224
Waterloo,5-Day,5.0,2000-04-21,3.764298197577871,0.20906795984642712,0.11519938297337917
Waterloo,5-Day,5.0,2000-04-22,3.7583423356897625,0.21100751125881803,0.09618155770447578
Waterloo,5-Day,5.0,2000-04-23,3.7522980695169657,0.21296113082388937,0.07582044309967716
Waterloo,5-Day,5.0,2000-04-24,3.7461557060922135,0.21492495678470103,0.05423980820826594
Waterloo,5-Day,5.0,2000-04-25,3.7399122572763273,0.2169102375401624,0.03184980361967808
Waterloo,5-Day,5.0,2000-04-26,3.733569803588623,0.21892710533666906,0.009186247369406103
Waterloo,5-Day,5.0,2000-04-27,3.726980216906641,0.22096682889747896,-0.013509971987976294
Waterloo,5-Day,5.0,2000-04-28,3.720318628555933,0.22299623807833466,-0.036209279935637786
Waterloo,5-Day,5.0,2000-04-29,3.7136377603405015,0.22498110881315966,-0.05908433053476914
Waterloo,5-Day,5.0,2000-04-30,3.7069557778926607,0.2269159046359957,-0.08218711273985867
Waterloo,5-Day,5.0,2000-05-01,3.7002779413364975,0.2288136214815313,-0.10540516551055851
Waterloo,5-Day,5.0,2000-05-02,3.69360572800223,0.2306930724339812,-0.12862897623156033
